indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
22,10,5 meses y 8 días (158),109,40,"[1, 2, 3]",154,154,3,100.0,1.9,32.21
23,10,5 meses y 8 días (158),109,80,"[1, 2]",60,60,4,100.0,6.7,12.65
24,10,5 meses y 8 días (158),109,80,"[1, 2, 3]",60,60,6,100.0,10.0,13.41
25,10,5 meses y 8 días (158),109,90,"[1, 2]",60,59,8,98.3,13.6,12.02
26,10,5 meses y 8 días (158),109,90,"[1, 2, 3]",60,59,8,98.3,13.6,12.44
27,10,5 meses y 8 días (158),109,100,"[1, 2, 3]",60,59,6,98.3,10.2,13.29
28,10,7 meses y 11 días (221),152,10,[1],840,840,4,100.0,0.5,143.34
29,10,7 meses y 11 días (221),152,10,"[1, 2]",967,967,4,100.0,0.4,170.07
30,10,7 meses y 11 días (221),152,20,[1],420,420,9,100.0,2.1,78.38
31,10,7 meses y 11 días (221),152,20,"[1, 2]",473,473,8,100.0,1.7,88.66
32,10,7 meses y 11 días (221),152,40,[1],180,180,12,100.0,6.7,35.66
33,10,7 meses y 11 días (221),152,40,"[1, 2]",218,218,9,100.0,4.1,43.21
34,10,7 meses y 11 días (221),152,40,"[1, 2, 3]",236,236,7,100.0,3.0,48.62
35,10,7 meses y 11 días (221),152,80,"[1, 2]",81,81,5,100.0,6.2,17.11
36,10,7 meses y 11 días (221),152,80,"[1, 2, 3]",90,90,8,100.0,8.9,19.69
37,10,7 meses y 11 días (221),152,90,"[1, 2]",84,83,9,98.8,10.8,16.74
38,10,7 meses y 11 días (221),152,90,"[1, 2, 3]",80,79,10,98.8,12.7,17.29
39,10,7 meses y 11 días (221),152,100,"[1, 2, 3]",78,77,9,98.7,11.7,16.95
40,10,7 meses y 11 días (221),152,120,"[1, 2, 3]",60,60,5,100.0,8.3,13.88
41,10,7 meses y 11 días (221),152,140,"[1, 2, 3]",60,56,6,93.3,10.7,13.41
42,10,9 meses y 2 días (272),187,10,"[1, 2]",1192,1192,6,100.0,0.5,215.79
43,10,9 meses y 2 días (272),187,20,"[1, 2]",617,617,12,100.0,1.9,118.84
44,10,9 meses y 2 días (272),187,40,"[1, 2]",293,293,15,100.0,5.1,59.29
45,10,9 meses y 2 días (272),187,40,"[1, 2, 3]",308,308,14,100.0,4.5,66.26
46,10,9 meses y 2 días (272),187,80,"[1, 2]",129,129,10,100.0,7.8,28.32
47,10,9 meses y 2 días (272),187,80,"[1, 2, 3]",128,128,15,100.0,11.7,31.03
48,10,9 meses y 2 días (272),187,90,"[1, 2]",128,127,12,99.2,9.4,28.59
49,10,9 meses y 2 días (272),187,90,"[1, 2, 3]",131,130,16,99.2,12.3,30.48
50,10,9 meses y 2 días (272),187,100,"[1, 2, 3]",110,109,15,99.1,13.8,26.73
51,10,9 meses y 2 días (272),187,100,"[1, 2, 3, 4]",117,116,11,99.1,9.5,27.56
52,10,9 meses y 2 días (272),187,120,"[1, 2, 3]",86,86,8,100.0,9.3,20.94
53,10,9 meses y 2 días (272),187,120,"[1, 2, 3, 4]",89,89,12,100.0,13.5,21.82
54,10,9 meses y 2 días (272),187,140,"[1, 2, 3]",64,58,7,90.6,12.1,14.68
55,10,9 meses y 2 días (272),187,140,"[1, 2, 3, 4]",71,65,10,91.5,15.4,17.26
56,10,9 meses y 2 días (272),187,160,"[1, 2, 3]",60,57,5,95.0,8.8,14.31
57,10,9 meses y 2 días (272),187,160,"[1, 2, 3, 4]",60,57,6,95.0,10.5,15.05
58,10,9 meses y 2 días (272),187,180,"[1, 2, 3]",60,54,4,90.0,7.4,14.74
59,10,9 meses y 2 días (272),187,180,"[1, 2, 3, 4]",60,54,3,90.0,5.6,15.71
60,10,1 años (365),250,20,"[1, 2]",825,825,15,100.0,1.8,161.68
61,10,1 años (365),250,40,"[1, 2]",414,414,17,100.0,4.1,82.3
62,10,1 años (365),250,40,"[1, 2, 3]",441,441,17,100.0,3.9,92.85
63,10,1 años (365),250,80,"[1, 2]",197,197,15,100.0,7.6,41.86
64,10,1 años (365),250,80,"[1, 2, 3]",198,198,20,100.0,10.1,44.25
65,10,1 años (365),250,90,"[1, 2]",152,151,12,99.3,7.9,31.08
66,10,1 años (365),250,90,"[1, 2, 3]",176,175,18,99.4,10.3,38.08
67,10,1 años (365),250,100,"[1, 2, 3]",149,148,21,99.3,14.2,32.23
68,10,1 años (365),250,100,"[1, 2, 3, 4]",153,152,15,99.3,9.9,36.92
69,10,1 años (365),250,120,"[1, 2, 3]",131,131,14,100.0,10.7,31.11
70,10,1 años (365),250,120,"[1, 2, 3, 4]",129,129,16,100.0,12.4,32.8
71,10,1 años (365),250,140,"[1, 2, 3]",114,106,13,93.0,12.3,26.73
72,10,1 años (365),250,140,"[1, 2, 3, 4]",105,97,12,92.4,12.4,26.41
73,10,1 años (365),250,160,"[1, 2, 3]",91,84,8,92.3,9.5,21.46
74,10,1 años (365),250,160,"[1, 2, 3, 4]",90,83,10,92.2,12.0,23.01
75,10,1 años (365),250,180,"[1, 2, 3]",90,78,5,86.7,6.4,21.51
76,10,1 años (365),250,180,"[1, 2, 3, 4]",80,68,5,85.0,7.4,20.16
77,10,1 años (365),250,200,"[1, 2, 3]",66,56,8,84.8,14.3,16.24
78,10,1 años (365),250,200,"[1, 2, 3, 4]",66,56,9,84.8,16.1,17.69
79,10,1 años (365),250,220,"[1, 2, 3]",67,53,7,79.1,13.2,16.2
80,10,1 años (365),250,220,"[1, 2, 3, 4]",67,53,4,79.1,7.5,16.28
